timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777923680.4793608,4.826,51.02,49,1,0.7379,0.33,18,0,1,5,1,126,False,41,20,6560.21,10334.7
1777923710.5078967,3.846,21.05,19,1,0.0,0.0,19,1,0,4,0,22,False,19,14,8528.09,10521.67
1777923740.5237296,2.763,66.67,3,10,0.4459,0.1672,10,6,4,4,0,36,False,3,1,2799.24,2459.07
1777923770.536087,4.575,70.0,10,2,0.0,0.0,8,0,2,14,4,472,False,15,6,3553.36,8593.98
1777923800.5516582,4.019,75.68,37,22,0.2685,0.2256,2,10,12,0,0,32,False,42,12,4127.02,11652.0
1777923830.5662944,2.693,85.71,14,9,0.625,0.2624,15,4,5,0,0,13,False,31,10,3758.8,10020.51
1777923860.57951,0.0,0.0,3,10,0.9994,0.4152,7,1,9,7,0,46,False,7,7,10397.07,10688.14
1777923890.5977602,2.458,61.9,21,21,0.0,0.0,3,14,7,0,0,35,False,26,11,5229.1,10288.65
1777923920.6099102,1.896,1.72,58,0,0.0,0.0,23,0,0,1,0,5,False,54,49,2344.02,10397.15
1777923950.6230164,4.969,81.25,16,1,0.6894,0.2684,23,0,1,0,0,1,False,15,4,4476.14,9699.95
1777923980.635969,4.795,88.24,17,12,0.0,0.0,17,4,3,0,0,11,False,17,2,5362.6,10104.24
1777924010.6539123,5.742,50.0,2,0,0.0,0.0,19,0,0,5,1,125,False,5,3,8255.69,10187.5
1777924040.6653411,5.298,88.89,18,0,0.0,0.0,23,0,0,1,0,5,False,17,2,4793.22,8028.89
1777924070.6770306,4.636,69.23,26,24,0.65,0.358,0,10,14,0,0,34,False,31,16,5613.29,10258.31
1777924100.6903608,2.694,66.67,18,1,0.9952,0.388,23,1,0,0,0,2,False,29,16,5974.38,10249.75
1777924130.7033217,4.77,33.33,3,1,0.0,0.0,23,0,1,0,0,1,False,3,2,2130.48,1609.66
1777924160.7185597,3.898,5.88,17,1,0.0,0.0,23,1,0,0,0,2,False,17,15,7488.1,12114.62
1777924190.734107,2.203,85.71,7,14,0.3555,0.1672,0,5,9,10,0,69,False,7,1,2017.65,2299.57
1777924220.75054,9.862,14.29,7,0,0.0,0.0,23,0,0,1,0,5,False,11,5,6338.23,10169.75
1777924250.7636118,2.969,78.57,56,4,0.4209,0.1672,9,0,4,11,0,59,False,56,18,2567.46,10260.43
1777924280.7767816,5.057,100.0,7,12,0.0,0.0,12,10,2,0,0,22,False,9,1,4655.44,6299.53
1777924310.7931192,2.487,100.0,15,5,0.4865,0.1676,19,4,1,0,0,9,False,17,1,2625.77,3406.71
1777924340.804954,3.566,87.5,16,0,0.0,0.0,23,0,0,1,0,5,False,15,2,3885.11,6744.36
1777924370.8197348,3.368,66.67,3,1,0.0,0.0,7,0,1,16,16,1681,False,3,1,3681.96,3899.23
1777924400.8431163,5.225,48.0,50,10,0.0,0.0,0,2,8,14,0,82,False,45,22,7615.82,10459.09
1777924430.8582711,4.628,42.86,14,0,0.0,0.0,23,0,0,1,0,5,False,15,7,5165.51,10337.89
1777924460.8696008,4.507,72.73,11,13,0.5366,0.3044,11,10,3,0,0,23,False,14,5,4590.17,10011.05
1777924490.882203,1.764,75.0,4,0,0.0,0.0,18,0,0,6,1,130,False,6,3,5962.84,10215.77
1777924520.89565,4.205,83.33,18,0,0.0,0.0,23,0,0,1,0,5,False,16,3,5589.49,12123.88
1777924550.90793,3.815,35.29,51,3,0.5133,0.1912,17,2,1,4,0,25,False,44,28,7976.35,10611.25
1777924580.9212973,4.21,11.11,18,4,0.0,0.0,20,4,0,0,0,8,False,17,15,2327.91,4586.21
1777924610.9374106,2.183,25.0,4,1,0.0,0.0,9,0,1,14,6,671,False,5,3,2270.82,2945.14
1777924640.9493935,4.785,71.43,21,18,0.0,0.0,6,13,5,0,0,31,False,25,7,5183.13,10276.6
1777924670.9611099,3.069,80.0,5,12,0.0,0.0,8,9,3,4,0,41,False,11,1,3949.78,5580.97
1777924700.9740977,3.402,85.0,40,6,0.0,0.0,13,6,0,5,0,37,False,42,10,3401.22,7171.94
1777924730.9920044,3.118,50.0,18,1,0.0,0.0,23,1,0,0,0,2,False,16,8,4455.42,11241.03
1777924761.004554,3.64,65.0,20,1,0.0,0.0,19,1,0,4,0,22,False,18,7,4608.93,10217.34
1777924791.0185013,1.84,22.22,9,4,0.0,0.0,20,2,2,0,0,6,False,10,8,2068.28,3518.46
1777924821.03065,4.772,85.71,7,0,0.0,0.0,18,0,0,6,1,130,False,8,2,4125.57,4700.52
1777924851.0425754,4.422,42.11,57,15,0.1829,0.118,4,5,10,5,0,45,False,49,28,8388.8,13448.98
1777924881.055907,5.572,33.33,12,0,0.0,0.0,18,0,0,6,1,130,False,13,7,7090.4,10379.07
1777924911.0695348,2.392,33.33,18,5,0.0,0.0,19,5,0,0,0,10,False,17,11,1705.45,3013.25
1777924941.0848558,4.715,57.14,21,5,0.0,0.0,19,4,1,0,0,9,False,18,8,6066.82,10393.08
1777924971.0994012,2.902,87.5,8,17,0.5463,0.1676,0,0,17,7,7,952,True,9,1,2849.94,4453.98
1777925001.116758,4.019,46.15,39,5,0.4909,0.1775,12,0,5,7,3,340,False,44,21,6772.74,10356.37
