timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,lstm_ppo_reward,reward_throughput,reward_cpu,reward_mem,reward_replicas,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777981944.13355,3.981,34.04,47,24,0.582,0.382,0,23,1,0,0,47,False,748.84,869.0412,7.275,4.775,-132.25,41,25,5539.19,10391.16
1777981974.1675231,3.217,95.0,20,24,0.1388,0.1581,0,23,1,0,0,47,False,6640.21,6768.75,1.735,1.9762,-132.25,18,2,4573.46,10351.92
1777982004.1844587,3.72,66.67,3,5,0.0035,0.1525,19,2,3,0,0,7,False,3331.62,3333.6667,0.0438,1.9062,-4.0,4,1,2621.9,2142.91
1777982034.2012925,3.2,93.75,16,11,0.3101,0.1473,13,6,5,0,0,17,False,6572.51,6591.7969,3.8762,1.8412,-25.0,16,1,2855.17,4780.37
1777982064.2150667,2.978,100.0,28,13,0.2001,0.1873,4,2,11,7,0,50,False,7468.84,7500.0,2.5013,2.3413,-36.0,36,0,3170.5,6193.28
1777982094.228883,3.93,94.74,38,24,0.374,0.1679,0,21,3,0,0,45,False,6606.27,6731.7507,4.675,2.0987,-132.25,38,2,4063.15,10007.64
1777982124.2455661,3.123,100.0,6,24,0.0834,0.1708,0,19,5,0,0,43,False,7370.93,7500.0,1.0425,2.135,-132.25,9,0,2645.72,3297.57
1777982154.2607007,3.291,100.0,16,22,0.1327,0.1642,2,19,3,0,0,41,False,7393.46,7500.0,1.6588,2.0525,-110.25,24,0,2985.43,6505.48
1777982184.2844546,2.987,100.0,34,24,0.0825,0.1742,0,18,6,0,0,42,False,7370.96,7500.0,1.0312,2.1775,-132.25,46,0,4187.28,7998.79
1777982214.2987363,3.904,95.24,21,24,0.2467,0.173,0,24,0,0,0,48,False,6675.99,6802.9932,3.0838,2.1625,-132.25,22,3,5108.8,10339.1
1777982244.3134084,3.183,100.0,15,24,0.0342,0.1731,0,23,1,0,0,47,False,7370.34,7500.0,0.4275,2.1637,-132.25,18,0,2928.23,4566.73
1777982274.3281934,2.812,100.0,3,11,0.0606,0.1752,13,11,0,0,0,22,False,7477.95,7500.0,0.7575,2.19,-25.0,3,0,2816.29,1641.87
1777982304.3424807,2.837,100.0,19,10,0.0916,0.1816,14,10,0,0,0,20,False,7483.17,7500.0,1.145,2.27,-20.25,17,0,2891.92,6425.73
1777982334.3573716,2.737,95.0,20,24,0.0775,0.1842,0,11,13,0,0,35,False,6639.77,6768.75,0.9688,2.3025,-132.25,32,1,3967.16,7696.96
1777982364.3724124,4.067,78.57,28,24,0.2303,0.1691,0,23,1,0,0,47,False,4502.68,4629.9337,2.8788,2.1138,-132.25,27,5,5298.3,10303.7
1777982394.391168,2.066,100.0,2,24,0.0582,0.1558,0,24,0,0,0,48,False,7370.43,7500.0,0.7275,1.9475,-132.25,4,0,3488.21,2498.12
1777982424.4074914,5.01,100.0,14,17,0.0142,0.1779,7,17,0,0,0,34,False,7438.4,7500.0,0.1775,2.2237,-64.0,16,4,6294.86,10178.21
1777982454.4247203,2.502,100.0,3,17,0.0868,0.1606,7,9,8,0,0,26,False,7439.09,7500.0,1.085,2.0075,-64.0,9,0,2466.15,3878.54
1777982484.441647,3.23,81.82,11,17,0.154,0.1733,7,17,0,0,0,34,False,4960.98,5020.8843,1.925,2.1663,-64.0,10,2,4609.08,10105.33
1777982514.4556162,3.782,83.64,55,24,0.1858,0.2007,0,19,5,0,0,43,False,5119.32,5246.7372,2.3225,2.5088,-132.25,54,12,4592.23,10238.65
1777982544.4704409,4.938,100.0,8,24,0.2608,0.1804,0,23,1,0,0,47,False,7373.27,7500.0,3.26,2.255,-132.25,10,0,4096.74,8646.9
1777982574.4866147,3.293,100.0,20,24,0.0825,0.1753,0,23,1,0,0,47,False,7370.97,7500.0,1.0312,2.1913,-132.25,17,0,3297.61,6967.38
1777982604.5061095,3.788,93.75,16,20,0.0424,0.1852,4,20,0,0,0,40,False,6504.39,6591.7969,0.53,2.315,-90.25,16,1,4637.72,9377.32
1777982634.5218537,1.832,100.0,2,17,0.0516,0.1787,7,12,5,0,0,29,False,7438.88,7500.0,0.645,2.2338,-64.0,3,0,1715.42,1781.78
1777982664.5387056,3.894,92.0,50,24,0.2999,0.2026,0,17,7,0,0,41,False,6222.03,6348.0,3.7487,2.5325,-132.25,44,4,3962.31,10016.7
1777982694.5581338,4.344,100.0,19,24,0.1585,0.1788,0,24,0,0,0,48,False,7371.97,7500.0,1.9812,2.235,-132.25,16,0,4349.21,6806.49
1777982724.5724895,3.858,100.0,9,13,0.0036,0.181,11,11,2,0,0,24,False,7466.31,7500.0,0.045,2.2625,-36.0,15,0,3710.57,8816.06
1777982754.5871317,3.616,100.0,4,9,0.1678,0.1973,15,9,0,0,0,18,False,7488.56,7500.0,2.0975,2.4663,-16.0,5,0,3166.21,3301.87
1777982784.6008377,3.968,88.24,17,9,0.1248,0.209,15,9,0,0,0,18,False,5827.9,5839.7232,1.56,2.6125,-16.0,16,2,4590.8,10187.44
1777982814.6148465,5.03,61.54,52,24,0.1807,0.2332,0,23,1,0,0,47,False,2713.3,2840.3787,2.2588,2.915,-132.25,44,17,6340.26,10294.49
1777982844.6292744,4.19,86.36,22,24,0.103,0.1667,0,24,0,0,0,48,False,5464.66,5593.5372,1.2875,2.0837,-132.25,17,0,4036.1,8627.2
1777982874.6439383,2.783,100.0,4,12,0.0359,0.1786,12,7,5,0,0,19,False,7472.43,7500.0,0.4488,2.2325,-30.25,4,0,2787.82,1915.0
1777982904.6597428,5.27,93.75,16,14,0.2589,0.197,10,3,11,0,0,17,False,6555.25,6591.7969,3.2363,2.4625,-42.25,20,1,4537.23,10101.41
1777982934.6776063,2.782,85.71,7,14,0.172,0.1843,10,13,1,0,0,27,False,5471.86,5509.6531,2.15,2.3037,-42.25,16,4,5464.45,10222.45
1777982964.6920836,3.822,77.27,44,24,0.3384,0.2119,0,23,1,0,0,47,False,4352.62,4477.9897,4.23,2.6488,-132.25,42,9,4928.52,10179.99
1777982994.7064712,3.126,100.0,16,24,0.091,0.1814,0,22,2,0,0,46,False,7371.15,7500.0,1.1375,2.2675,-132.25,15,0,3293.93,5590.46
