episode,episodic_reward
1,89176.57999999999
2,67188.15000000001
3,51875.5
4,96827.98
5,44602.53999999999
6,121548.53000000001
7,134771.21
8,29401.25
9,52106.880000000005
10,44568.58
11,59719.85
12,59777.12000000001
13,44613.58
14,87899.78
15,59797.18
16,91678.7
17,96552.04
18,67374.17
19,44535.5
20,65866.74
21,44403.509999999995
22,59684.49999999999
23,41472.38
24,67336.15
25,52053.91
26,74558.87
27,119130.83000000002
28,51585.049999999996
29,28898.64
30,66875.84
31,178059.31000000003
32,59340.83
33,59518.93
34,133637.58
35,59023.47
36,28965.260000000002
37,43938.75
38,66446.43000000001
39,59010.94999999999
40,66543.56
41,59022.12
42,57360.560000000005
43,80280.6
44,33156.55
45,51581.79000000001
46,51920.719999999994
47,67031.44
48,133152.91999999998
49,111829.05
50,89200.96000000002
51,33699.979999999996
52,59763.799999999996
53,96626.62000000001
54,41335.840000000004
55,74987.18000000001
56,119529.92
57,52203.259999999995
58,44591.71000000001
59,59662.62000000001
60,51863.46
61,36805.280000000006
62,59429.67999999999
63,66468.51000000001
64,51735.67999999999
65,59401.95
66,67275.33
67,41294.590000000004
68,36998.409999999996
69,59728.46
70,111690.86
71,51916.560000000005
72,59524.96000000001
73,111712.29
74,67104.91
75,64965.05
76,59732.08000000001
77,67226.17
78,67379.83
79,67387.66
80,50382.15
81,50377.759999999995
82,59719.88
83,59550.659999999996
84,126797.94999999998
85,44671.5
86,67368.91
87,59305.21
88,67408.01
89,51543.42
90,44454.14
91,74921.70999999999
92,52213.05
93,127129.57999999999
94,59755.810000000005
95,44447.55
96,51960.87999999999
97,59160.79000000001
98,118483.37
99,66036.68
100,58543.26
101,66857.20999999999
102,44369.34999999999
103,194225.58
104,51793.67
105,80552.92000000001
106,43939.63999999999
107,110600.69
108,14683.32
109,66477.25
110,118173.88999999998
111,59329.21
112,67004.56
113,44248.26
114,68883.16
115,44161.0
116,103589.12000000001
117,59579.729999999996
118,22337.43
119,74604.87
120,59735.29
121,126930.43000000001
122,51763.270000000004
123,161962.62
124,102873.90999999999
125,59246.89
126,66840.84000000001
127,59369.409999999996
128,66989.65999999999
129,104116.59
130,59184.64
131,43960.18
132,74158.68000000001
133,74433.85
134,74715.69
135,58904.55999999999
136,59149.09
137,66514.49
138,22233.96
139,59440.27
140,67300.18
141,67150.40000000001
142,44274.70999999999
143,74720.69
144,59196.11
145,51544.39
146,59088.979999999996
147,66572.79000000001
148,67822.03
149,73976.99
150,43906.51
151,36427.17
152,73905.06999999999
153,51461.37
154,59083.01000000001
155,74098.87000000001
156,51429.84
157,95582.7
158,73986.66999999998
159,57016.420000000006
160,66585.06999999999
161,51779.520000000004
162,111430.58
163,67044.2
164,52118.71
165,59731.15000000001
166,169792.47999999998
167,66846.31
168,74682.26
169,67246.95
170,52143.15
171,74896.45
172,111938.52999999998
173,74726.0
174,59576.14
175,102387.87000000001
176,96597.86999999998
177,74319.02
178,58993.030000000006
179,36393.869999999995
180,7402.3
181,132911.62
182,66762.36
183,66966.7
184,118863.15
185,58968.399999999994
186,59379.03
187,51846.64000000001
188,51930.76000000001
189,59568.8
190,59551.259999999995
191,59598.36000000001
192,59410.34
193,66941.74
194,67162.87000000001
195,67290.71
196,52142.29
197,43837.43000000001
198,111884.59999999999
199,67112.14
200,59169.32000000001
201,51698.25000000001
202,66852.26
203,44160.91
204,59276.0
205,51617.75
206,59013.08000000001
207,58983.79
208,58912.74
209,43907.53999999999
210,59025.76
211,103260.95000000001
212,67294.18
213,52127.36
214,66273.32
215,49902.71
216,59758.55
217,59588.91
218,52054.380000000005
219,59604.36
220,74370.65999999999
221,89245.18
222,52213.83
223,41248.13
224,66428.69
225,91199.25000000001
226,74019.01999999999
227,36405.119999999995
228,65939.77
229,43975.64
230,67030.11
231,66327.38
232,102991.04
233,66521.65
234,66849.83
235,7413.67
236,95453.03
237,59229.01000000001
238,111229.31000000001
239,101578.89000000001
240,59490.22
241,73166.73
242,44306.04
243,67048.37
244,51592.15
245,52169.13
246,66851.76000000001
247,59682.03999999999
248,67348.1
249,57942.429999999986
250,66972.51000000001
251,51665.479999999996
252,51511.090000000004
253,51515.28
254,66577.2
255,62455.240000000005
256,126596.21999999999
257,52064.99
258,74655.79
259,51788.47
260,119986.69
261,59364.079999999994
262,43990.73
263,73200.80000000002
264,59577.95
265,119475.38
266,59772.63999999999
267,67402.04
268,67293.19
269,74768.02
270,55418.469999999994
271,59231.96
272,58931.47000000001
273,66740.81999999999
274,74670.0
275,29343.089999999997
276,66227.09
277,44609.95
278,58236.66
279,52211.34999999999
280,55570.689999999995
281,29208.13
282,67338.85
283,67350.26
284,35598.0
285,59673.84
286,67269.23
287,101160.09999999999
288,59815.89000000001
289,59752.33
290,59802.700000000004
291,35709.14
292,107732.51
293,36994.39
294,37012.7
295,125667.24
296,59782.92999999999
297,67370.95
298,110050.72
299,44493.28999999999
300,49495.43
301,44612.75
302,44592.66
303,52190.560000000005
304,119449.74
305,67017.79999999999
306,74337.82
307,59343.03999999999
308,74413.58000000002
309,59354.93000000001
310,59575.53999999999
311,67139.20999999999
312,110865.20000000001
313,36931.65
314,67364.25
315,70413.20999999999
316,59231.91
317,58012.18000000001
318,52208.49
319,34316.85
320,59813.08999999999
321,22132.27
322,99559.81999999999
323,44624.47
324,66501.1
325,59716.24999999999
326,65814.34
327,67234.41
328,67296.45999999999
329,102582.69
330,14804.84
331,44593.380000000005
