step,action,action_feedback,avg_execution_time,cpu,episode,episodic_reward,mean_reward,mem,n-step_reward,replicas,requests,throughput
0,1.0,1.0,6.6579999923706055,0.2248000055551529,0.0,,,0.15729999542236328,7503.77978515625,3.0,1.0,100.0
1,-1.0,1.0,0.4569999873638153,0.07400000095367432,0.0,89176.578125,89176.578125,0.17679999768733978,7502.8798828125,2.0,10.0,100.0
2,-1.0,1.0,0.9739999771118164,0.06930000334978104,0.0,67188.1484375,78182.3671875,0.17759999632835388,7503.08984375,1.0,1.0,100.0
3,1.0,1.0,1.1490000486373901,0.004000000189989805,0.0,51875.5,69413.40625,0.16920000314712524,7501.919921875,2.0,1.0,100.0
4,0.0,0.0,1.1490000486373901,0.004000000189989805,0.0,96827.9765625,76267.0546875,0.16920000314712524,-100.0,2.0,1.0,100.0
5,0.0,0.0,1.1490000486373901,0.004000000189989805,0.0,44602.5390625,69934.1484375,0.16920000314712524,-100.0,2.0,1.0,100.0
6,1.0,1.0,0.9120000004768372,0.37229999899864197,0.0,121548.53125,78536.546875,0.19609999656677246,7506.10009765625,3.0,15.0,100.0
7,2.0,1.0,2.5250000953674316,0.09359999746084213,0.0,134771.203125,86570.0703125,0.155799999833107,7499.1201171875,5.0,3.0,100.0
8,0.0,0.0,2.5250000953674316,0.09359999746084213,0.0,29401.25,79423.96875,0.155799999833107,-100.0,5.0,3.0,100.0
9,0.0,0.0,2.5250000953674316,0.09359999746084213,0.0,52106.87890625,76388.734375,0.155799999833107,-100.0,5.0,3.0,100.0
10,0.0,0.0,2.5250000953674316,0.09359999746084213,0.0,44568.578125,73206.71875,0.155799999833107,-100.0,5.0,3.0,100.0
11,-1.0,1.0,0.010999999940395355,0.004900000058114529,0.0,59719.8515625,71980.640625,0.15610000491142273,7499.759765625,4.0,1.0,100.0
12,2.0,1.0,2.36299991607666,0.07509999722242355,0.0,59777.12109375,70963.6796875,0.14380000531673431,7496.490234375,6.0,1.0,100.0
13,0.0,0.0,2.36299991607666,0.07509999722242355,0.0,44613.578125,68936.75,0.14380000531673431,-100.0,6.0,1.0,100.0
14,1.0,1.0,0.8370000123977661,0.20900000631809235,0.0,87899.78125,70291.25,0.17419999837875366,7495.7900390625,7.0,40.0,100.0
15,0.0,0.0,0.8370000123977661,0.20900000631809235,0.0,59797.1796875,69591.6484375,0.17419999837875366,-100.0,7.0,40.0,100.0
16,0.0,0.0,0.8370000123977661,0.20900000631809235,0.0,91678.703125,70972.0859375,0.17419999837875366,-100.0,7.0,40.0,100.0
17,1.0,1.0,3.8350000381469727,0.08340000361204147,0.0,96552.0390625,72476.7890625,0.1542000025510788,7490.72021484375,8.0,2.0,100.0
18,1.0,1.0,1.309000015258789,0.08489999920129776,0.0,67374.171875,72193.3125,0.1695999950170517,7487.18017578125,9.0,18.0,100.0
19,-1.0,1.0,0.003000000026077032,0.004000000189989805,0.0,44535.5,70737.640625,0.15569999814033508,7489.75,8.0,2.0,100.0
20,0.0,0.0,0.003000000026077032,0.004000000189989805,1.0,65866.7421875,70494.09375,0.15569999814033508,-100.0,8.0,2.0,100.0
21,2.0,1.0,6.173999786376953,0.004000000189989805,1.0,44403.51171875,69251.6875,0.148499995470047,7481.66015625,10.0,1.0,100.0
22,2.0,1.0,0.3330000042915344,0.026399999856948853,1.0,59684.5,68816.8125,0.1446000039577484,7471.89013671875,12.0,8.0,100.0
23,-2.0,1.0,0.41100001335144043,0.004399999976158142,1.0,41472.37890625,67627.921875,0.15000000596046448,7481.68017578125,10.0,8.0,100.0
24,2.0,1.0,0.003000000026077032,0.025200000032782555,1.0,67336.1484375,67615.765625,0.14830000698566437,7471.919921875,12.0,1.0,100.0
25,-2.0,1.0,0.0,0.004100000020116568,1.0,52053.91015625,66993.2890625,0.15459999442100525,7481.72998046875,10.0,0.0,100.0
26,1.0,1.0,1.5989999771118164,0.04019999876618385,1.0,74558.8671875,67284.2734375,0.16369999945163727,7477.5498046875,11.0,4.0,100.0
27,1.0,1.0,1.7109999656677246,0.10090000182390213,1.0,119130.828125,69204.515625,0.1599999964237213,7473.009765625,12.0,10.0,100.0
28,-1.0,1.0,0.550000011920929,0.004100000020116568,1.0,51585.05078125,68575.25,0.155799999833107,7477.0,11.0,2.0,100.0
29,1.0,1.0,0.0,0.0038999998942017555,1.0,28898.640625,67207.09375,0.15299999713897705,7471.7099609375,12.0,0.0,100.0
30,1.0,1.0,0.0,0.007499999832361937,2.0,66875.84375,67196.0546875,0.1509999930858612,7465.97998046875,13.0,0.0,100.0
31,1.0,1.0,0.7639999985694885,0.09769999980926514,2.0,178059.3125,70772.2890625,0.15230000019073486,7460.8798828125,14.0,43.0,100.0
32,0.0,0.0,0.7639999985694885,0.09769999980926514,2.0,59340.828125,70415.0546875,0.15230000019073486,-100.0,14.0,43.0,100.0
33,2.0,1.0,4.923999786376953,0.05790000036358833,2.0,59518.9296875,70084.8671875,0.15379999577999115,7446.39990234375,16.0,2.0,100.0
34,0.0,0.0,4.923999786376953,0.05790000036358833,2.0,133637.578125,71954.0625,0.15379999577999115,-100.0,16.0,2.0,100.0
35,2.0,1.0,0.003000000026077032,0.023800000548362732,2.0,59023.46875,71584.6171875,0.15039999783039093,7429.93017578125,18.0,1.0,100.0
36,-2.0,1.0,0.9850000143051147,0.021400000900030136,2.0,28965.259765625,70400.75,0.15729999542236328,7445.97998046875,16.0,9.0,100.0
37,0.0,0.0,0.9850000143051147,0.021400000900030136,2.0,43938.75,69685.5625,0.15729999542236328,-100.0,16.0,9.0,100.0
38,-2.0,1.0,0.0,0.0038999998942017555,2.0,66446.4296875,69600.3203125,0.16279999911785126,7459.830078125,14.0,0.0,100.0
39,-1.0,1.0,5.736000061035156,0.033900000154972076,2.0,59010.94921875,69328.796875,0.1664000004529953,7466.5,13.0,1.0,100.0
40,-2.0,1.0,2.4779999256134033,0.017899999395012856,3.0,66543.5625,69259.1640625,0.1664000004529953,7477.2998046875,11.0,1.0,100.0
41,0.0,0.0,2.4779999256134033,0.017899999395012856,3.0,59022.12109375,69009.484375,0.1664000004529953,-100.0,11.0,1.0,100.0
42,1.0,1.0,0.09799999743700027,0.010499999858438969,3.0,57360.55859375,68732.125,0.16249999403953552,7471.91015625,12.0,14.0,100.0
43,-2.0,1.0,1.9199999570846558,0.03840000182390213,3.0,80280.6015625,69000.6953125,0.16680000722408295,7482.31982421875,10.0,3.0,100.0
44,-2.0,1.0,0.0,0.004100000020116568,3.0,33156.55078125,68186.0546875,0.16539999842643738,7489.8701171875,8.0,0.0,100.0
45,0.0,0.0,0.0,0.004100000020116568,3.0,51581.7890625,67817.0703125,0.16539999842643738,-100.0,8.0,0.0,100.0
46,-1.0,1.0,1.0230000019073486,0.05380000174045563,3.0,51920.71875,67471.5,0.18940000236034393,7494.0400390625,7.0,13.0,100.0
47,-2.0,1.0,1.284999966621399,0.029999999329447746,3.0,67031.4375,67462.1328125,0.17159999907016754,7498.52001953125,5.0,2.0,100.0
48,-2.0,1.0,0.0,0.18150000274181366,3.0,133152.921875,68830.6953125,0.17030000686645508,3.4000000953674316,3.0,1.0,0.0
49,0.0,0.0,0.0,0.18150000274181366,3.0,111829.046875,69708.2109375,0.17030000686645508,-100.0,3.0,1.0,0.0
50,0.0,0.0,0.0,0.18150000274181366,3.0,89200.9609375,70098.0625,0.17030000686645508,-100.0,3.0,1.0,0.0
51,0.0,0.0,0.0,0.18150000274181366,3.0,33699.98046875,69384.375,0.17030000686645508,-100.0,3.0,1.0,0.0
52,2.0,1.0,0.9940000176429749,0.12280000001192093,3.0,59763.80078125,69199.3671875,0.14980000257492065,7499.41015625,5.0,2.0,100.0
53,-2.0,1.0,1.003000020980835,0.10639999806880951,3.0,96626.6171875,69716.859375,0.20069999992847443,7502.83984375,3.0,18.0,100.0
54,1.0,1.0,1.6640000343322754,0.31459999084472656,3.0,41335.83984375,69191.2890625,0.1817999929189682,7503.9599609375,4.0,24.0,100.0
55,1.0,1.0,3.0940001010894775,0.06769999861717224,3.0,74987.1796875,69296.671875,0.15109999477863312,7498.740234375,5.0,1.0,100.0
56,-2.0,1.0,0.8840000033378601,0.03750000149011612,3.0,119529.921875,70193.6875,0.17159999907016754,7501.60986328125,3.0,3.0,100.0
57,1.0,1.0,1.315000057220459,0.16459999978542328,3.0,52203.26171875,69878.0703125,0.16910000145435333,7501.919921875,4.0,10.0,100.0
58,0.0,0.0,1.315000057220459,0.16459999978542328,3.0,44591.7109375,69442.09375,0.16910000145435333,-100.0,4.0,10.0,100.0
